item,tier,multiplier,avg,min,capped,floored
36,class-quality,17.9366,682,555,0,0
37,class-quality,17.9366,700,569,0,0
121,class-subclass-quality,100.0,500,469,0,0
129,class-subclass-quality,100.0,500,469,0,0
140,class-subclass-quality,100.0,500,469,0,0
763,class-subclass-quality,16.5441,4864,3812,0,0
876,class-quality,16.5441,182,153,0,0
913,class-subclass-quality,0.7018,17676,15284,0,0
945,class-quality,17.9366,305,248,0,0
948,class-quality,17.9366,305,248,0,0
997,class-quality,17.9366,305,248,0,0
1166,class-quality,16.5441,1390,1172,0,0
1167,class-quality,16.5441,8007,6753,0,0
1189,class-subclass-quality,1.5122,3781,3471,0,0
1190,class-subclass-quality,1.9794,4139,3530,0,0
1193,class-quality,16.5441,29432,24823,0,0
1213,class-subclass-quality,16.5441,7246,5679,0,0
1216,class-subclass-quality,1.9794,11854,10111,0,0
1255,class-subclass-quality,162.0,57348,55312,0,0
1297,class-subclass-quality,1.9794,20178,17211,0,0
1384,class-quality,17.9366,1004,817,0,0
1388,class-quality,17.9366,1291,1051,0,0
1400,class-subclass-quality,24.8,33480,33480,0,0
1623,class-subclass-quality,1.9966,39932,39600,0,0
1652,class-subclass-quality,1.9966,39932,39600,0,0
1680,class-subclass-quality,0.7635,69608,68939,0,0
1851,class-subclass-quality,24.8,177146,177146,0,0
1926,class-subclass-quality,0.5971,2053,1776,0,0
2016,class-subclass-quality,1.2291,10874,9979,0,0
2065,class-quality,17.9366,10206,8304,0,0
2088,class-subclass-quality,0.6307,2301,2156,0,0
2109,class-subclass-quality,5.8824,429,378,0,0
2110,class-subclass-quality,10.8438,347,276,0,0
2114,class-subclass-quality,10.8438,1692,1345,0,0
2128,class-quality,17.9366,1794,1459,0,0
2133,class-quality,16.5441,1307,1102,0,0
2232,class-subclass-quality,1.9794,8046,6863,0,0
2234,class-subclass-quality,1.9794,17880,15250,0,0
2259,class-quality,17.9366,6780,5517,0,0
2273,class-subclass-quality,1.2291,2681,2460,0,0
2327,class-subclass-quality,16.5441,3011,2360,0,0
2377,class-quality,16.5441,7428,6265,0,0
2410,class-subclass-quality,100.0,600,562,0,0
2413,class-subclass-quality,162.0,5001155,5001155,1,0
2415,class-subclass-quality,162.0,5001155,5001155,1,0
2441,class-quality,16.5441,60320,50874,0,0
2442,class-quality,16.5441,21706,18307,0,0
2443,class-quality,16.5441,282656,238395,0,0
2444,class-quality,16.5441,777028,655353,0,0
2481,class-quality,17.9366,1560,1270,0,0
2482,class-quality,17.9366,1040,846,0,0
2483,class-quality,17.9366,1309,1065,0,0
2484,class-quality,17.9366,1560,1270,0,0
2485,class-quality,17.9366,951,773,0,0
2486,class-quality,17.9366,1184,963,0,0
2487,class-quality,17.9366,1794,1459,0,0
2496,class-quality,17.9366,7264,5911,0,0
2497,class-quality,17.9366,12753,10376,0,0
2498,class-quality,17.9366,7300,5940,0,0
2499,class-quality,17.9366,12861,10464,0,0
2500,class-quality,17.9366,5255,4276,0,0
2501,class-quality,17.9366,12932,10522,0,0
2502,class-quality,17.9366,5291,4305,0,0
2503,class-quality,17.9366,9309,7574,0,0
2664,class-subclass-quality,0.6307,3387,3173,0,0
2688,class-subclass-quality,24.8,1240,1240,0,0
2693,class-subclass-quality,12.5,1000,996,0,0
2754,class-quality,17.9366,1238,1007,0,0
2887,class-subclass-quality,162.0,3240,3125,0,0
2890,class-subclass-quality,162.0,3240,3125,0,0
2895,class-quality,207.8,10390,8300,0,0
2899,class-subclass-quality,1.435,1214,1069,0,0
2919,class-subclass-quality,100.0,400000,375000,0,0
2920,class-subclass-quality,100.0,20000,18750,0,0
2921,class-subclass-quality,100.0,50000,46875,0,0
2922,class-subclass-quality,100.0,100000,93750,0,0
2923,class-subclass-quality,100.0,200000,187500,0,0
2927,class-quality,207.8,41560,33200,0,0
2929,class-subclass-quality,12.5,125,124,0,0
2932,class-subclass-quality,12.5,2500,2490,0,0
3002,class-subclass-quality,100.0,400000,375000,0,0
3003,class-subclass-quality,100.0,20000,18750,0,0
3004,class-subclass-quality,100.0,50000,46875,0,0
3005,class-subclass-quality,100.0,100000,93750,0,0
3006,class-subclass-quality,100.0,200000,187500,0,0
3028,class-quality,17.9366,276834,225245,0,0
3034,quality,1.355,41033,35858,0,0
3087,class-subclass-quality,4.3042,194,184,0,0
3222,class-subclass-quality,0.6307,3794,3555,0,0
3259,class-subclass-quality,162.0,3240,3125,0,0
3261,class-subclass-quality,10.8438,390,310,0,0
3263,class-subclass-quality,10.8438,239,190,0,0
3293,class-quality,17.9366,1040,846,0,0
3294,class-quality,17.9366,1040,846,0,0
3295,class-quality,17.9366,969,788,0,0
3296,class-quality,17.9366,969,788,0,0
3320,class-subclass-quality,10.8438,1193,948,0,0
3321,class-subclass-quality,16.5441,3441,2697,0,0
3323,class-subclass-quality,10.8438,857,681,0,0
3329,class-quality,17.9366,16071,13076,0,0
3330,class-subclass-quality,1.2291,1728,1586,0,0
3332,class-subclass-quality,5.8824,1424,1252,0,0
3464,quality,1.355,47,41,0,0
3522,class-subclass-quality,5.8824,59,52,0,0
3526,class-subclass-quality,5.8824,24,21,0,0
3527,class-subclass-quality,5.8824,59,52,0,0
3528,class-subclass-quality,16.5441,132,104,0,0
3529,class-subclass-quality,5.8824,47,41,0,0
3533,class-subclass-quality,16.5441,116,91,0,0
3535,class-subclass-quality,16.5441,66,52,0,0
3536,class-subclass-quality,5.8824,41,36,0,0
3537,class-subclass-quality,16.5441,132,104,0,0
3538,class-subclass-quality,16.5441,132,104,0,0
3541,class-subclass-quality,16.5441,99,78,0,0
3542,class-subclass-quality,16.5441,99,78,0,0
3545,class-subclass-quality,16.5441,50,39,0,0
3546,class-subclass-quality,16.5441,50,39,0,0
3547,class-subclass-quality,16.5441,132,104,0,0
3644,class-subclass-quality,10.8438,2581,2052,0,0
3648,class-quality,16.5441,10208,8609,0,0
