item,cost,avg_price,min_price,reagent_sources
1450,100,130,100,878:cc
2305,4838,6289,4838,"2318:cc,2320:cc"
2306,4276,5559,4276,"2318:cc,2320:cc"
2460,2307,2999,2307,"2449:cc,785:cc,3371:cc"
2685,1466,1906,1466,2677:cc
2847,10925,14202,10925,"2840:cc,2880:cc,2589:cc"
2867,7996,10395,7996,2841:cc
3469,12848,16702,12848,2840:cc
3846,130876,170139,130876,"3859:cc,3864:cc,1705:cc,3486:cc"
3854,199950,259935,199950,"3859:cc,1529:cc,3829:cc"
3855,166100,215930,166100,"3575:cc,3466:cc,3486:cc,3577:cc,4234:cc"
3856,112032,145642,112032,"3859:cc,3864:cc,3824:cc"
4376,3009,3912,3009,"4375:cc,4402:cc"
4403,57054,74170,57054,"4371:cc,4387:cc,4377:cc,2319:cc"
5473,470,611,470,5466:cc
5474,1988,2584,1988,5467:cc
5478,1,1,1,5051:vendor
5526,1913,2487,1913,"5503:cc,1179:cc"
5783,320383,416498,320383,"5785:cc,4236:cc,4234:cc,4291:cc"
6038,1294,1682,1294,4655:cc
6218,22278,28961,22278,"6217:cc,10940:cc,10938:cc"
6243,5147,6691,5147,"2997:cc,2321:cc,2605:cc"
6339,41148,53492,41148,"6338:cc,10940:cc,10939:cc,6218:derived"
6730,19508,25360,19508,"2840:cc,774:cc,3470:cc"
6733,57950,75335,57950,"2841:cc,1210:cc,3478:cc"
7027,47027,61135,47027,"4305:cc,2319:cc,6048:cc,2321:cc"
7047,74586,96962,74586,"4305:cc,4234:cc,6048:cc,2321:cc"
7054,76908,99980,76908,"4339:cc,7067:cc,7070:cc,7068:cc,7069:cc,4291:cc"
7056,140500,182650,140500,"4305:cc,2604:cc,6371:cc,4291:cc"
7063,259036,336747,259036,"4305:cc,7068:cc,3827:cc,2604:cc,4291:cc"
7064,266488,346434,266488,"4305:cc,7068:cc,6371:cc,4304:cc,2604:cc,4291:cc"
7283,17702,23013,17702,"7286:cc,2319:cc,2321:cc"
7359,66828,86876,66828,"2319:cc,7067:cc,2997:cc,2321:cc"
7913,112488,146234,112488,"3575:cc,5635:cc,3486:cc"
7914,243400,316420,243400,"3575:cc,3486:cc"
7917,178756,232383,178756,"3575:cc,3486:cc,5637:cc"
7925,354776,461209,354776,"3860:cc,4234:cc,4338:cc"
7927,443119,576055,443119,"3860:cc,4338:cc,6037:cc,7966:cc"
7928,528799,687439,528799,"3860:cc,6037:cc,4304:cc"
7929,503700,654810,503700,"3860:cc,7067:cc"
7932,590976,768269,590976,"3860:cc,4304:cc"
7935,666529,866488,666529,"3860:cc,6037:cc,7077:cc,7966:cc"
7937,653270,849251,653270,"3860:cc,6037:cc,7966:cc"
7938,464938,604419,464938,"3860:cc,6037:cc,7909:cc,3864:cc,5966:cc,7966:cc"
7947,548898,713567,548898,"3860:cc,6037:cc,7910:cc,7966:cc,4304:cc"
7954,1199895,1559864,1199895,"3860:cc,7075:cc,6037:cc,3864:cc,1529:cc,7966:cc,4304:cc"
7955,17342,22545,17342,"2840:cc,2880:cc,3470:cc,2318:cc"
7959,1246134,1619974,1246134,"3860:cc,7972:cc,6037:cc,7966:cc,4304:cc"
8195,96528,125486,96528,"4304:cc,4291:cc"
8208,112540,146302,112540,"4304:cc,8154:cc,8343:cc"
8211,126393,164311,126393,"4304:cc,8153:cc,8172:cc"
8212,214300,278590,214300,"4304:cc,8153:cc,8172:cc"
8214,110905,144176,110905,"4304:cc,8153:cc,8172:cc"
8215,214300,278590,214300,"4304:cc,8153:cc,8172:cc"
8529,3500,4550,3500,43621:vendor
9149,155555,202222,155555,"3575:cc,9262:cc,8831:cc,4625:cc"
9254,186,242,186,"9251:vendor,9252:vendor,9253:vendor"
9280,45,58,45,9279:vendor
9281,45,58,45,9282:derived
9282,45,58,45,9280:derived
9316,45,58,45,9281:derived
9372,26383,34298,26383,9379:vendor
10010,78782,102417,78782,"4339:cc,7079:cc,8343:cc"
10011,68822,89469,68822,"4339:cc,7079:cc,8343:cc"
10020,98313,127807,98313,"4339:cc,7079:cc,8343:cc"
10032,97924,127301,97924,"4339:cc,7079:cc,8343:cc"
10038,136926,178004,136926,"4339:cc,7079:cc,8343:cc"
10039,162374,211086,162374,"4339:cc,7079:cc,8343:cc,4304:cc"
10542,419566,545436,419566,"3860:cc,3864:cc,7067:cc"
10543,332766,432596,332766,"3860:cc,3864:cc,7068:cc"
10545,221476,287919,221476,"10500:cc,10559:cc,10558:cc,8151:cc,4234:cc"
10579,104500,135850,104500,"3030:cc,10505:cc,3860:cc"
10580,144739,188161,144739,"10561:cc,10505:cc,10558:cc,3860:cc"
10585,132376,172089,132376,"10561:cc,3860:cc,4389:cc,10560:cc"
10587,193879,252043,193879,"10561:cc,10505:cc,6037:cc,10560:cc,4407:cc"
10588,1075389,1398006,1075389,"10543:derived,9061:cc,3860:cc,10560:cc"
10645,86207,112069,86207,"10559:cc,10560:cc,12808:cc,7972:cc,9060:cc"
10716,299397,389216,299397,"10559:cc,10560:cc,3860:cc,8151:cc,1529:cc"
10719,170971,222262,170971,"10559:cc,10560:cc,3860:cc"
10721,195532,254192,195532,"7387:cc,3860:cc,6037:cc,10560:cc,7909:cc"
10723,132376,172089,132376,"10561:cc,3860:cc,4389:cc,10560:cc"
10725,403699,524809,403699,"10561:cc,6037:cc,3860:cc,9060:cc,10558:cc,1529:cc"
10726,463571,602642,463571,"3860:cc,6037:cc,10558:cc,7910:cc,4338:cc"
10727,849329,1104128,849329,"10559:cc,9061:cc,3860:cc,6037:cc,10560:cc"
