item,item_name,existing_avg,existing_min,cc_avg,cc_min,avg_ratio,min_ratio,cc_item_count,cc_last_seen
4656,Small Pumpkin,207,130,2500000,2500000,12077.29,19230.77,5,2026-05-05 19:24:56
7097,Leg Meat,100,100,1000130,1000130,10001.3,10001.3,1,2026-06-30 07:05:17
31873,Design: Veiled Flame Spessarite,430137044,95662712,50000,50000,8602.74,1913.25,1,2026-06-27 08:25:16
6735,Plans: Ironforge Breastplate,77824322,53992483,10000,10000,7782.43,5399.25,1,2026-06-30 03:05:28
21944,Design: Truesilver Boar,286224085,224999595,48900,48800,5853.25,4610.65,3,2026-07-01 14:45:20
21177,Symbol of Kings,57381378,1625187,10255,10255,5595.45,158.48,8,2026-04-06 21:02:37
55,Apprentice's Boots,520336,326335,100,100,5203.36,3263.35,1,2026-05-21 00:25:11
13907,7 Pound Lobster,3390668,2034401,700,700,4843.81,2906.29,1,2026-07-01 14:25:16
3334,Farmer's Shovel,2415159,2287710,500,500,4830.32,4575.42,1,2026-06-18 02:05:32
22903,Recipe: Insane Strength Potion,55732730,24764841,13099,12800,4254.73,1934.75,3,2026-07-01 14:45:20
21949,Design: Ruby Serpent,192785653,149501998,49800,49800,3871.2,3002.05,1,2026-07-01 02:45:11
10309,Scroll of Agility IV,470,282,999999,999999,2127.66,3546.1,4,2026-07-01 14:25:16
3775,Crippling Poison,130004,40026,51,51,2549.1,784.82,20,2026-05-11 13:04:42
2512,Rough Arrow,4,4,10000,10000,2500.0,2500.0,189,2026-05-22 17:45:31
41586,Terrorshaft Arrow,56,35,85500,85500,1526.79,2442.86,200,2026-06-23 02:05:05
3322,Wispy Cloak,929286,505000,400,400,2323.22,1262.5,2,2026-06-28 09:25:34
1196,Tabar,10000000,10000000,4900,4900,2040.82,2040.82,1,2026-07-01 14:05:16
3033,Solid Shot,2662,10,20000,20000,7.51,2000.0,200,2026-04-06 08:42:27
21947,Design: Gem Studded Band,417396345,83142254,240316,235950,1736.86,352.37,7,2026-07-01 14:45:20
6517,Pioneer Belt,3500000,3500000,2350,2300,1489.36,1521.74,2,2026-07-01 14:25:16
22548,Formula: Enchant Cloak - Major Resistance,50568459,30341075,39400,20000,1283.46,1517.05,7,2026-07-01 14:45:20
2361,Battleworn Hammer,5430000,5430000,4400,4400,1234.09,1234.09,1,2026-05-30 05:25:12
6316,Loch Frenzy Delight,10000,10000,9,9,1111.11,1111.11,8,2026-06-21 12:45:14
2511,Hunter's Boomstick,4643421,2503950,4269,4269,1087.71,586.54,1,2026-06-19 04:05:34
36863,Decahedral Dwarven Dice,24926191,14955715,25500,25500,977.5,586.5,1,2026-07-01 15:05:19
44615,Devout Candle,7453783,699766,8000,8000,931.72,87.47,1,2026-06-15 16:05:16
22540,Formula: Enchant Shield - Shield Block,101656834,60994100,113300,113300,897.24,538.34,1,2026-07-01 02:45:11
5048,Blue Ribboned Wrapping Paper,177614,177614,200,200,888.07,888.07,1,2026-05-22 00:05:27
11732,Libram of Rumination,63797,38278,78,77,817.91,497.12,9,2026-07-01 14:25:16
16056,Schematic: Flawless Arcanite Rifle,73545415,22276546,90021,90021,816.98,247.46,1,2026-06-17 00:45:20
23476,Squire's Shirt,1211987,1211987,1500,1500,807.99,807.99,1,2026-06-30 04:05:31
31861,Great Dawnstone,50000,50000,40000000,40000000,800.0,800.0,1,2026-07-01 15:05:19
11584,Cactus Apple Surprise,7884,5191,10,10,788.4,519.1,10,2026-02-20 19:42:32
23637,Plans: Hand of Eternity,1085767,651460,490000000,490000000,451.29,752.16,1,2026-07-01 14:45:20
21801,Antenna of Invigoration,111110000,111110000,150000,150000,740.73,740.73,1,2026-05-08 17:04:59
11736,Libram of Resilience,49408,35317,70,70,705.83,504.53,12,2026-07-01 14:25:16
961,Healing Herb,22784,15173,33,33,690.42,459.79,3,2026-06-16 02:05:39
37331,Formula: Enchant Cloak - Superior Fire Resistance,94087408,87999696,150000,150000,627.25,586.66,1,2026-06-12 17:44:52
44749,Salted Yeti Cheese,2083,1250,757250,757250,363.54,605.8,8,2026-06-30 01:45:28
3315,Ceremonial Leather Loincloth,10846,6767,4000000,4000000,368.8,591.1,1,2026-07-01 14:05:16
18657,Schematic: Hyper-Radiant Flame Reflector,85880476,54500000,150000,150000,572.54,363.33,1,2026-06-12 17:44:52
22390,Plans: Persuader,11395715,7724247,20000,20000,569.79,386.21,1,2026-06-15 21:05:44
22309,Pattern: Big Bag of Enchantment,45496698,29708820,90000,90000,505.52,330.1,1,2026-06-13 20:05:23
4413,Schematic: Discombobulator Ray,4997390,3168292,10000,10000,499.74,316.83,1,2026-07-01 08:05:07
4071,Glimmering Mail Breastplate,20046,12028,6000000,6000000,299.31,498.84,1,2026-07-01 14:05:16
6096,Apprentice's Shirt,95912,57547,200,200,479.56,287.74,1,2026-04-22 22:23:05
13108,Tigerstrike Mantle,152256,91354,42218509,42218509,277.29,462.14,1,2026-07-01 04:45:04
12698,Plans: Dawnbringer Shoulders,18310488,10986293,40000,40000,457.76,274.66,1,2026-07-01 01:45:13
13499,Recipe: Greater Shadow Protection Potion,4241006,2787926,9999,9999,424.14,278.82,1,2026-06-16 05:05:37
20548,Pattern: Runed Stygian Belt,190642337,75773473,450000,450000,423.65,168.39,1,2026-04-25 09:23:12
20546,Pattern: Runed Stygian Leggings,17780181,10668109,42500,42500,418.36,251.01,1,2026-02-17 05:42:30
20966,Jade Pendant of Blasting,4133571,2295000,10000,10000,413.36,229.5,9,2026-06-20 17:05:18
40,Recruit's Boots,20464286,11250000,50000,50000,409.29,225.0,1,2026-07-01 14:05:16
11151,Formula: Enchant Gloves - Herbalism,1520650,988583,4000,4000,380.16,247.15,1,2026-06-29 17:45:22
10308,Scroll of Intellect IV,4614,2692,999999,999999,216.73,371.47,2,2026-07-01 14:25:16
4411,Schematic: Flame Deflector,3685494,2211296,10000,10000,368.55,221.13,1,2026-06-26 22:05:10
18610,Keen Machete,443763,139173,50000000,50000000,112.67,359.27,1,2026-07-01 14:45:20
24272,Shadowcloth,1827631,453421,5500,5500,332.3,82.44,9,2026-06-29 12:05:21
34837,The 2 Ring,561266724,77810217,1690000,1690000,332.11,46.04,1,2026-05-26 15:45:35
6046,Plans: Steel Weapon Chain,976645,972095,3450,3000,283.09,324.03,4,2026-07-01 14:05:16
1401,Green Tea Leaf,43,26,8400,8400,195.35,323.08,5,2026-05-25 14:45:59
47828,Goblin Beam Welder,602812,194172,1875,1875,321.5,103.56,15,2026-07-01 15:25:22
2680,Spiced Wolf Meat,1321,125,39799,39799,30.13,318.39,2,2026-07-01 14:05:16
6290,Brilliant Smallfish,22,19,5900,5900,268.18,310.53,1,2026-07-01 14:05:16
24271,Spellcloth,1651157,721451,5506,5506,299.88,131.03,19,2026-06-29 21:45:34
5465,Small Spider Leg,110,29,8965,8300,81.5,286.21,272,2026-07-01 14:05:16
3239,Rough Weightstone,10,10,2698,2698,269.8,269.8,5,2026-06-28 22:45:45
10033,Red Mageweave Headband,50859,37094,10000000,10000000,196.62,269.59,1,2026-07-01 14:25:16
41751,Black Mushroom,17829,10754,69,69,258.39,155.86,10,2026-05-31 00:25:37
25875,Deadly Throwing Axe,504999,9999,2000,2000,252.5,5.0,1,2026-04-21 12:42:45
23868,Singed Page,5001155,5001155,20000,20000,250.06,250.06,1,2026-05-11 18:04:49
20555,Plans: Darkrune Helm,60530389,53054010,242999,242999,249.1,218.33,1,2026-05-31 11:45:24
3202,Forest Leather Bracers,1356917,1094973,5500,5500,246.71,199.09,1,2026-07-01 14:05:16
30817,Simple Flour,370416,7617,1510,1510,245.31,5.04,40,2026-07-01 14:05:16
9745,Simple Cape,371694,223016,1600,1600,232.31,139.38,1,2026-07-01 14:25:16
25887,Schematic: Purple Smoke Flare,99501283,59700770,578500,258000,172.0,231.4,4,2026-07-01 14:45:20
4302,Small Green Dagger,700000,700000,3080,3080,227.27,227.27,1,2026-06-20 01:25:35
7026,Linen Belt,14568,4183,66,66,220.73,63.38,1,2026-06-18 07:05:20
16049,Schematic: Dark Iron Bomb,2087606,821064,9999,9999,208.78,82.11,1,2026-06-25 00:45:11
23884,Schematic: Mana Potion Injector,39784986,23870992,197500,195000,201.44,122.42,3,2026-07-01 14:45:20
10389,Hyperion Legplates,9999999,9999999,50000,50000,200.0,200.0,1,2026-07-01 00:05:18
2679,Charred Wolf Meat,2841,1705,15,15,189.4,113.67,7,2026-06-27 16:45:15
18655,Schematic: Major Recombobulator,18442318,16564053,98900,98900,186.47,167.48,1,2026-06-27 14:05:03
38801,Scroll of Enchant Gloves - Herbalism,4000,4000,713406,713406,178.35,178.35,1,2026-04-30 08:04:04
34411,Hot Apple Cider,267158,33753,1500,1500,178.11,22.5,60,2026-05-04 00:24:58
1195,Kobold Mining Shovel,382769,77460,2200,2200,173.99,35.21,3,2026-07-01 14:05:16
12261,Plans: Searing Golden Blade,8615395,2779707,50000,50000,172.31,55.59,1,2026-06-30 07:25:12
14564,Prospector's Mitts,21781,13069,2200000,2200000,101.01,168.34,1,2026-06-29 19:45:25
12728,Plans: Invulnerable Mail,8394206,2996580,50000,50000,167.88,59.93,1,2026-07-01 01:45:13
35,Bent Staff,1667656,1000594,10000,10000,166.77,100.06,1,2026-06-02 16:05:30
4388,Discombobulator Ray,830461,465496,5000,5000,166.09,93.1,1,2026-06-29 09:25:32
8177,Practice Sword,128388,64658,787,700,163.14,92.37,3,2026-07-01 14:25:16
24164,Design: Delicate Eternium Ring,4822228,4532070,30000,30000,160.74,151.07,1,2026-07-01 05:05:03
14514,Pattern: Robe of the Void,7900530,2219528,50000,50000,158.01,44.39,1,2026-06-30 16:45:14
20554,Plans: Darkrune Breastplate,15112447,9067468,100000,100000,151.12,90.67,1,2026-02-03 21:22:36
6709,Moonglow Vest,500000,500000,3500,3500,142.86,142.86,1,2026-04-27 15:43:40
4560,Fine Scimitar,104529,62717,734,730,142.41,85.91,3,2026-07-01 14:05:16
11138,Small Glowing Shard,130,53,1,1,130.0,53.0,458,2026-07-01 14:25:16
9318,Red Firework,12937,12126,100,100,129.37,121.26,30,2026-06-01 22:25:43
18265,Pattern: Flarecore Wraps,6361237,1505888,50000,50000,127.22,30.12,1,2026-05-27 22:25:42
4960,Flash Pellet,6127,1118,49,49,125.04,22.82,25,2026-07-01 14:05:16
4659,Warrior's Girdle,800,800,99999,99999,125.0,125.0,1,2026-07-01 02:45:11
6410,Insignia Bracers,1243775,746265,10000,10000,124.38,74.63,1,2026-06-30 04:45:26
