item,cc_item_count,cc_last_seen
1357,1,2026-08-12 00:24:55
3745,15,2026-09-20 19:25:09
4098,1,2026-04-28 06:04:07
5052,1,2026-09-04 00:25:25
5791,1,2026-06-08 05:45:14
7740,1,2026-09-20 19:25:09
7741,1,2026-09-20 19:25:09
8391,23,2026-09-20 19:25:09
8392,11,2026-09-20 19:25:09
8393,4,2026-09-20 19:25:09
8394,13,2026-09-20 19:25:09
8396,8,2026-09-20 19:25:09
10593,18,2026-09-20 19:25:09
11078,20,2026-06-25 18:05:07
11108,2,2026-09-20 19:25:09
11184,20,2026-09-20 19:25:09
11185,43,2026-09-20 19:25:09
11186,29,2026-09-20 19:25:09
11188,47,2026-09-20 19:25:09
11754,106,2026-09-20 19:25:09
11818,1,2026-09-19 00:44:51
12219,3,2026-09-20 19:25:09
12284,1,2026-06-04 15:24:43
12430,15,2026-09-20 19:25:09
12431,66,2026-09-20 19:25:09
12432,46,2026-09-20 19:25:09
12433,1,2026-09-19 13:04:57
12434,53,2026-09-20 19:25:09
12435,1,2026-09-20 19:25:09
12436,55,2026-09-20 19:25:09
12845,1,2026-09-20 19:25:09
13545,4,2026-09-20 19:25:09
17781,1,2025-11-26 22:22:46
18335,9,2026-09-20 19:25:09
18356,4,2026-09-20 19:25:09
18359,1,2026-09-20 19:25:09
18360,2,2026-09-20 19:25:09
18362,1,2026-09-16 07:25:01
18363,2,2026-09-20 19:25:09
18364,1,2026-09-20 17:45:07
18704,1,2026-07-27 16:25:14
18769,1,2026-09-20 19:25:09
18770,1,2026-09-16 08:25:04
18779,1,2026-09-19 17:45:07
18780,1,2026-09-19 23:05:12
18781,1,2026-09-20 19:25:09
18782,4,2026-09-20 19:25:09
18783,1,2026-09-08 05:25:05
18784,1,2026-09-08 05:25:05
19698,1,2026-09-15 05:05:23
19699,2,2026-09-17 23:05:05
19700,7,2026-09-20 19:25:09
19701,2,2026-09-15 05:05:23
19702,1,2026-09-20 09:24:56
19703,5,2026-09-15 05:05:23
19704,3,2026-09-15 05:05:23
19705,2,2026-09-15 05:05:23
19706,1,2026-09-20 19:25:09
19707,1,2026-09-19 08:24:44
19708,2,2026-09-19 12:24:51
19709,1,2026-09-18 23:04:48
19710,1,2026-09-19 02:04:43
19711,1,2026-09-20 13:24:53
19712,1,2026-09-19 20:25:06
19713,2,2026-09-20 13:24:53
19714,1,2026-09-18 23:04:48
19715,1,2026-09-19 13:04:57
19813,1,2026-08-29 14:45:24
19814,1,2026-09-20 19:25:09
19815,1,2026-08-18 02:05:46
19816,1,2026-09-03 20:05:36
19817,1,2026-08-27 03:25:33
19818,1,2026-09-14 07:45:12
19819,1,2026-09-18 20:04:53
19820,1,2026-09-03 20:05:36
19821,1,2026-09-19 22:05:10
19975,5,2026-09-07 22:25:32
20010,1,2026-08-29 03:25:22
20384,3,2026-07-31 18:04:57
20404,171,2026-09-20 19:25:09
20422,2,2026-09-12 08:25:05
20451,1,2026-09-17 01:45:18
20513,1,2026-09-20 19:25:09
20514,2,2026-09-18 06:04:48
20515,1,2026-08-25 07:45:11
20858,1,2026-09-19 08:24:44
20859,1,2026-09-20 16:04:55
20860,1,2026-09-20 16:04:55
20861,70,2026-09-11 21:25:21
20862,1,2026-09-19 08:24:44
20863,55,2026-09-11 21:05:21
20864,1,2026-09-19 08:24:44
20865,1,2026-09-20 19:25:09
20866,2,2026-09-20 09:24:56
20867,2,2026-09-19 08:24:44
20868,4,2026-08-30 06:05:27
20869,1,2026-09-08 09:25:06
20870,2,2026-08-30 06:05:27
20871,1,2026-09-20 19:25:09
20872,2,2026-08-16 09:25:02
20873,2,2026-08-28 19:05:17
20874,1,2026-08-25 15:24:48
20875,2,2026-08-13 20:44:55
20876,1,2026-09-07 22:25:32
20877,1,2026-08-17 17:45:34
20878,1,2026-08-17 17:45:34
20879,1,2026-09-07 03:45:14
20881,1,2026-08-21 17:25:09
20882,3,2026-08-25 15:24:48
21024,1,2026-09-08 01:25:18
22600,1,2025-11-02 10:02:04
22601,1,2026-07-03 05:25:31
22602,1,2026-09-04 00:25:25
22603,1,2026-07-03 05:25:31
22604,1,2026-08-19 16:05:04
22605,1,2026-08-15 14:45:12
22606,1,2026-06-28 12:25:18
22607,1,2026-08-11 22:24:59
22609,1,2026-07-03 05:25:31
22610,1,2026-08-06 17:05:14
22611,1,2026-08-19 16:05:04
22613,1,2026-09-09 01:05:07
22615,2,2026-08-09 00:24:51
22617,1,2026-07-12 14:45:28
22618,2,2026-07-14 14:25:03
22620,1,2026-07-12 14:45:28
22621,2,2026-08-09 00:24:51
22622,1,2026-09-02 00:45:33
22623,1,2026-06-27 22:45:25
22624,1,2026-07-12 14:45:28
23984,68,2026-09-20 19:25:09
24290,73,2026-09-20 19:25:09
29460,2,2026-07-23 00:04:56
29740,82,2026-09-20 19:25:09
30651,1,2026-07-06 07:45:16
30652,1,2026-07-06 07:45:16
30653,1,2026-07-06 07:45:16
30654,1,2026-07-06 07:45:16
31828,1,2026-07-27 14:05:11
32670,1,2025-11-17 10:42:46
32679,1,2025-11-09 21:42:26
32720,2,2026-09-13 08:04:59
36877,1,2025-10-27 13:41:45
38774,1,2026-09-13 08:25:01
38776,1,2026-09-01 20:05:10
38811,1,2026-08-19 06:25:18
38815,4,2026-09-17 21:25:10
38832,1,2026-08-02 15:45:05
38894,1,2025-12-29 15:23:08
38904,1,2026-07-10 10:05:03
38927,1,2026-09-14 14:05:13
38936,1,2026-08-07 11:24:55
38947,1,2025-11-01 05:41:52
38950,8,2026-09-20 19:25:09
39000,1,2025-11-17 09:42:45
40735,1,2026-09-20 17:45:07
43297,47,2026-09-20 19:25:09
43531,4,2025-11-23 02:42:46
46026,1,2026-09-20 18:25:05
46098,2,2026-09-20 19:25:09
49667,8,2026-09-20 19:25:09
