item,name,old_avg,new_avg,old_min,new_min,vendor_sell,listings,last_seen,factor
21944,Design: Truesilver Boar,286224085,39999,224999595,39999,1875,5,2026-09-20 20:05:07,0.0001
6317,Raw Loch Frenzy,17617,10,13428,10,2,5,2026-09-19 12:04:52,0.0006
16253,Formula: Enchant Chest - Greater Stats,99838065,62193,41998193,62000,7500,8,2026-09-20 20:05:07,0.0006
25887,Schematic: Purple Smoke Flare,99501283,55250,59700770,55000,15000,3,2026-09-20 20:05:07,0.0006
6316,Loch Frenzy Delight,10000,9,10000,9,3,8,2026-06-21 12:45:14,0.0009
11733,Libram of Constitution,55133,51,51578,51,0,6,2026-09-20 20:05:07,0.0009
11736,Libram of Resilience,49408,42,35317,42,0,6,2026-09-20 20:05:07,0.0009
11737,Libram of Voracity,57798,85,51230,84,0,3,2026-09-20 20:05:07,0.0015
11732,Libram of Rumination,63797,123,38278,123,0,4,2026-09-20 20:05:07,0.0019
7026,Linen Belt,14568,50,4183,50,22,5,2026-09-15 07:25:11,0.0034
34411,Hot Apple Cider,267158,1010,33753,1010,160,20,2026-09-20 20:05:07,0.0038
41751,Black Mushroom,17829,69,10754,69,5,10,2026-05-31 00:25:37,0.0039
12261,Plans: Searing Golden Blade,8615395,49899,2779707,49800,950,3,2026-09-20 20:05:07,0.0058
23810,Schematic: Crashin' Thrashin' Robot,9084007,59999,5128509,59999,20000,3,2026-09-20 20:05:07,0.0066
47828,Goblin Beam Welder,602812,3999,194172,3999,250,23,2026-09-20 20:05:07,0.0066
20966,Jade Pendant of Blasting,4133571,30000,2295000,30000,3482,3,2026-09-20 20:05:07,0.0073
11734,Libram of Tenacity,35134,272,21963,270,0,4,2026-09-20 20:05:07,0.0077
961,Healing Herb,22784,200,15173,200,2,3,2026-08-29 23:05:34,0.0088
3384,Minor Magic Resistance Potion,10595,100,6357,100,20,10,2026-09-13 10:05:04,0.0094
11846,Wizbang's Special Brew,31365,299,8999,299,30,5,2026-09-14 21:05:25,0.0095
22542,Formula: Enchant Boots - Vitality,7525651,77744,2872933,77744,10000,4,2026-09-20 20:05:07,0.0103
16044,Schematic: Lifelike Mechanical Toad,1184354,12299,371149,12299,4000,8,2026-09-20 20:05:07,0.0104
774,Malachite,1490,16,302,16,15,188,2026-09-20 20:05:07,0.0107
42172,Pattern: Red Lumberjack Shirt,7760687,97250,4656412,97000,12500,3,2026-09-20 20:05:07,0.0125
36862,Worn Troll Dice,3820271,48950,2804400,48900,0,3,2026-09-20 20:05:07,0.0128
28270,Formula: Enchant Chest - Major Resilience,3343945,51500,2658467,49000,15000,3,2026-09-20 20:05:07,0.0154
4960,Flash Pellet,6127,100,1118,100,12,25,2026-09-18 19:04:46,0.0163
43652,Slippery Eel,5570,99,1928,99,62,60,2026-09-20 20:05:07,0.0178
43420,Glyph of Barbaric Insults,8865,159,5319,158,100,12,2026-09-20 20:05:07,0.0179
7307,Flesh Eating Worm,9582,180,7938,180,62,5,2026-09-20 20:05:07,0.0188
769,Chunk of Boar Meat,1202,24,721,21,3,411,2026-09-20 20:05:07,0.02
6889,Small Egg,4948,102,3355,101,4,149,2026-09-20 20:05:07,0.0206
6811,Aquadynamic Fish Lens,3177,67,2646,67,25,20,2026-09-20 19:05:07,0.0211
21547,Recipe: Elixir of Greater Firepower,227672,5000,161978,5000,2500,6,2026-09-20 20:05:07,0.022
2318,Light Leather,1795,46,837,45,15,1815,2026-09-20 20:05:07,0.0256
4397,Gnomish Cloaking Device,4250000,120000,2500000,120000,5000,5,2026-08-05 05:45:01,0.0282
2296,Great Goretusk Snout,3358,96,1541,95,50,34,2026-09-20 20:05:07,0.0286
4378,Heavy Dynamite,31148,990,7831,990,350,19,2026-09-12 17:45:18,0.0318
40912,Glyph of Regrowth,191209,6750,89982,6750,100,39,2026-09-20 20:05:07,0.0353
13476,Recipe: Mighty Rage Potion,120907,4550,76757,4500,3000,4,2026-09-20 20:05:07,0.0376
3685,Raptor Egg,7846,300,3665,300,71,136,2026-09-20 20:05:07,0.0382
39686,Neo-Dynamic Gear Assembly,489040,19199,109227,19199,2250,10,2026-09-20 20:05:07,0.0393
42398,Glyph of Fade,48773,1990,43194,1990,100,15,2026-09-20 20:05:07,0.0408
5637,Large Fang,11262,482,5215,479,75,60,2026-09-20 20:05:07,0.0428
4349,Pattern: Phoenix Pants,9608,419,6013,419,175,3,2026-09-20 20:05:07,0.0436
7075,Core of Earth,96015,4185,50298,3800,400,21,2026-09-20 20:05:07,0.0436
929,Healing Potion,2729,120,1637,120,75,65,2026-09-20 20:05:07,0.044
2584,Woolen Cape,18060,825,5816,825,142,4,2026-09-19 17:25:07,0.0457
11584,Cactus Apple Surprise,7884,372,5191,372,1,3,2026-09-20 05:45:09,0.0472
731,Goretusk Snout,1550,79,930,79,27,45,2026-09-20 20:05:07,0.051
10562,Hi-Explosive Bomb,21069,1110,12641,1050,750,111,2026-09-20 20:05:07,0.0527
3383,Elixir of Wisdom,7234,388,4340,388,100,35,2026-09-20 20:05:07,0.0536
7974,Zesty Clam Meat,8999,485,3493,484,50,140,2026-09-20 20:05:07,0.0539
12227,Recipe: Lean Wolf Steak,1760341,100000,1056205,100000,400,3,2026-09-20 20:05:07,0.0568
3664,Crocolisk Gumbo,6363,363,4686,363,100,9,2026-09-13 14:45:06,0.057
9260,Volatile Rum,8448,488,6864,400,400,18,2026-09-20 20:05:07,0.0578
49084,Glyph of Command,341962,20001,269802,20001,100,22,2026-09-20 20:05:07,0.0585
3726,Big Bear Steak,8061,503,4819,503,125,20,2026-09-20 20:05:07,0.0624
43331,Glyph of Unburdened Rebirth,309988,19347,219178,19298,100,11,2026-09-20 20:05:07,0.0624
7976,Plans: Mithril Shield Spike,50963,3232,25148,3199,2000,7,2026-09-20 20:05:07,0.0634
1177,Oil of Olaf,10796,692,2112,690,3,10,2026-09-20 20:05:07,0.0641
43571,Sewer Carp,1754,115,1283,115,62,36,2026-09-20 20:05:07,0.0656
12205,White Spider Meat,9819,654,9274,644,112,146,2026-09-20 20:05:07,0.0666
37163,Rogues Deck,445365,30000,378045,30000,100,4,2026-09-20 14:44:53,0.0674
11084,Large Glimmering Shard,725,50,572,50,0,126,2026-09-20 20:05:07,0.069
41524,Glyph of Lava,283436,19599,113112,19599,100,13,2026-09-20 20:05:07,0.0691
22926,Recipe: Elixir of Empowerment,1274243,89250,1149191,89000,25000,3,2026-09-20 20:05:07,0.07
10608,Schematic: Sniper Scope,185236,12985,158967,10000,950,7,2026-09-20 20:05:07,0.0701
4415,Schematic: Craftsman's Monocle,140417,9999,65899,9999,550,5,2026-09-20 20:05:07,0.0712
43368,Glyph of Sense Undead,245732,18734,116361,18594,100,16,2026-09-20 20:05:07,0.0762
42464,Glyph of Immolate,262075,19992,104638,19985,100,12,2026-09-20 20:05:07,0.0763
48118,Leaping Hatchling,521391,40000,210969,40000,2500,3,2026-09-20 20:05:07,0.0767
2672,Stringy Wolf Meat,3864,299,3369,298,4,26,2026-09-20 17:45:07,0.0774
42965,Glyph of Ghostly Strike,219087,17000,147017,17000,100,24,2026-09-20 20:05:07,0.0776
42749,Glyph of Mage Armor,23791,1900,14275,1900,100,10,2026-09-20 20:05:07,0.0799
6522,Deviate Fish,30809,2500,18705,2500,4,77,2026-09-20 20:05:07,0.0811
41498,Perfect Resolute Huge Citrine,227398,19150,127547,18300,10000,11,2026-09-20 20:05:07,0.0842
40906,Glyph of Swiftmend,235783,20001,113171,20001,100,22,2026-09-20 20:05:07,0.0848
43725,Glyph of Ghost Wolf,186517,15897,110307,15897,100,6,2026-09-20 20:05:07,0.0852
43365,Glyph of Blessing of Kings,226190,19298,87161,19298,100,15,2026-09-20 20:05:07,0.0853
43868,Glyph of Seal of Righteousness,223460,19209,136254,19209,100,16,2026-09-20 20:05:07,0.086
4406,Standard Scope,9616,831,6121,800,600,9,2026-09-20 20:05:07,0.0864
2452,Swiftthistle,17199,1490,14985,1485,15,347,2026-09-20 20:05:07,0.0866
40914,Glyph of Healing Touch,48190,4198,28914,4198,100,9,2026-09-20 20:05:07,0.0871
43367,Glyph of Lay on Hands,209113,18895,68883,18895,100,17,2026-09-20 20:05:07,0.0904
5107,Deckhand's Shirt,19768,1795,14542,1795,139,7,2026-09-20 20:05:07,0.0908
37147,Two of Swords,43108,4000,39431,4000,125,8,2026-09-20 20:05:07,0.0928
2845,Copper Axe,5317,500,3190,500,109,10,2026-06-30 14:45:07,0.094
5504,Tangy Clam Meat,44856,4299,30009,4299,22,45,2026-09-20 20:05:07,0.0958
6662,Elixir of Giant Growth,66106,6397,62659,6397,95,206,2026-09-20 20:05:07,0.0968
8069,Crafted Solid Shot,15448,1500,159,1500,0,600,2026-09-14 10:25:08,0.0971
43550,Glyph of Rune Strike,200765,19532,79078,19400,100,10,2026-09-20 20:05:07,0.0973
765,Silverleaf,1016,99,211,98,10,2450,2026-09-20 20:05:07,0.0974
42734,Glyph of Arcane Explosion,58241,5691,42752,5691,100,4,2026-09-20 20:05:07,0.0977
3385,Lesser Mana Potion,5026,493,2041,493,30,21,2026-09-20 19:45:11,0.0981
20709,Rumsey Rum Light,2931,290,2639,281,50,97,2026-09-20 20:05:07,0.0989
22553,Formula: Enchant Weapon - Potency,4199564,419500,3661608,419000,20000,3,2026-09-20 20:05:07,0.0999
22532,Formula: Enchant Bracer - Restore Mana Prime,2899095,289500,2557305,289000,15000,3,2026-09-20 20:05:07,0.0999
43399,Glyph of Thunder Clap,174237,17398,72777,17397,100,7,2026-09-20 20:05:07,0.0999
10506,Deepdive Helmet,5999999,600000,5999999,600000,5227,4,2026-07-04 14:25:06,0.1
43386,Glyph of Water Shield,185914,18696,78000,18696,100,7,2026-09-20 20:05:07,0.1006
10407,Raider's Shoulderpads,14729,1487,12880,1485,432,5,2026-09-20 20:05:07,0.101
11174,Lesser Nether Essence,60135,6205,36081,5800,0,36,2026-09-20 20:05:07,0.1032
5342,Raptor Punch,9548,1000,8279,1000,88,35,2026-09-20 20:05:07,0.1047
2677,Boar Ribs,13966,1468,10758,1450,15,26,2026-09-20 17:05:00,0.1051
43390,Glyph of Drain Soul,161228,16964,71430,16897,100,10,2026-09-20 20:05:07,0.1052
2455,Minor Mana Potion,598,63,394,61,10,34,2026-09-20 20:05:07,0.1054
5788,Pattern: Thick Murloc Armor,6846,732,2676,700,162,6,2026-09-20 20:05:07,0.1069
41448,Perfect Smooth Sun Crystal,183884,19800,127385,19600,10000,15,2026-09-20 20:05:07,0.1077
39489,Scribe's Satchel,92522,10000,82391,10000,1250,3,2026-09-07 14:05:15,0.1081
3382,Weak Troll's Blood Elixir,2300,250,2101,250,10,16,2026-09-20 20:05:07,0.1087
44330,Elixir of Armor Piercing,65251,7100,31376,7100,5000,9,2026-09-20 20:05:07,0.1088
37145,Ace of Swords,59700,6500,35820,6500,125,6,2026-09-20 20:05:07,0.1089
