item,rank,skill,product_price,sell_price,raw,avg,min,clamp
5487,90,185,1,200,15641,15641,13295,none
6672,185,202,902,500,19554,19554,16621,none
6710,90,165,500000,137,13968,13968,11873,none
7978,160,164,146234,750,19209,19209,16328,none
7979,160,164,316420,750,24133,24133,20513,none
7980,175,164,120000,850,20929,20929,17790,none
7981,180,164,50000,1100,16327,16327,13878,none
7982,185,164,232383,1100,27177,27177,23100,none
9367,205,164,67038,1250,22964,22964,19519,none
10463,245,197,390000,1750,68641,68641,58345,none
12821,275,164,200000,4000,161218,161218,137035,none
12830,290,164,2038868,5500,213236,213236,181251,none
12837,300,164,4607585,20000,406297,406297,345352,none
12838,300,164,2069600,20000,320680,320680,272578,none
13481,275,171,81800,3750,149697,149697,127242,none
15771,300,165,4473485,7500,389880,389880,331398,none
20547,300,197,5730577,10000,591266,591266,502576,none
21025,300,185,190680,1250,14951254,14951254,12708566,none
21548,300,165,2783303,15000,300359,300359,255305,none
21722,250,197,893030,1250,98269,98269,83529,none
21723,250,197,220150,1250,64954,64954,55211,none
21737,275,202,243443,4000,193014,193014,164062,none
21738,225,202,301453,875,153996,153996,130897,none
22222,300,164,5200525,20000,421103,421103,357938,none
30282,375,197,267613,30000,953548,953548,810516,none
30323,375,164,4021935,60000,1557386,1557386,1323778,none
30324,375,164,7429926,60000,1867272,1867272,1587181,none
31870,325,755,35593,15000,186901,186901,158866,none
31871,325,755,38502,15000,191294,191294,162600,none
31872,325,755,38502,15000,191294,191294,162600,none
31874,325,755,36191,15000,187824,187824,159650,none
32739,375,164,6625453,7500,2591574,2591574,2202838,none
32753,375,197,1240863,12500,1747646,1747646,1485499,none
33792,35,164,42099,25,6022,6022,5119,none
35196,375,202,10464029,37500,7261422,7261422,6172209,none
37330,400,333,0,250,1294629,1294629,1100435,none
37333,400,333,0,250,1294629,1294629,1100435,none
37334,400,333,0,250,1294629,1294629,1100435,none
45088,450,164,7926555,25000,5083132,5083132,4320662,none
45089,450,164,7926555,25000,5083132,5083132,4320662,none
45090,450,164,7926555,25000,5083132,5083132,4320662,none
45091,450,164,7926555,25000,5083132,5083132,4320662,none
45092,450,164,7926555,25000,5083132,5083132,4320662,none
45093,450,164,7926555,25000,5083132,5083132,4320662,none
45094,450,165,2834214,25000,3060985,3060985,2601837,none
45095,450,165,3350756,25000,3216323,3216323,2733875,none
45096,450,165,2674626,25000,3008980,3008980,2557633,none
45097,450,165,2834214,25000,3060985,3060985,2601837,none
45098,450,165,3392674,25000,3228168,3228168,2743943,none
45099,450,165,2931028,25000,3091536,3091536,2627806,none
45100,450,165,2773489,25000,3041446,3041446,2585229,none
45101,450,165,2834214,25000,3060985,3060985,2601837,none
45102,450,197,9072840,25000,6398081,6398081,5438369,none
45103,450,197,9072840,25000,6398081,6398081,5438369,none
45104,450,197,10581990,25000,6695882,6695882,5691500,none
45105,450,197,10581990,25000,6695882,6695882,5691500,none
47622,450,164,23631418,25000,7021017,7021017,5967864,none
47623,450,164,12891918,25000,5869312,5869312,4988915,none
47624,450,164,16321100,25000,6293228,6293228,5349244,none
47625,450,164,15620488,25000,6212115,6212115,5280298,none
47626,450,164,26162422,25000,7235445,7235445,6150128,none
47627,450,164,18649675,25000,6546352,6546352,5564399,none
47628,450,165,9384076,25000,4361128,4361128,3706959,none
47629,450,165,8781253,25000,4276349,4276349,3634897,none
47630,450,165,12165358,25000,4709025,4709025,4002671,none
47631,450,165,6280979,25000,3872970,3872970,3292024,none
47632,450,165,18458970,25000,5326871,5326871,4527840,none
47633,450,165,12270484,25000,4721020,4721020,4012867,none
47634,450,165,12610114,25000,4759285,4759285,4045392,none
47635,450,165,8761171,25000,4273455,4273455,3632437,none
47636,450,197,27444776,25000,8875327,8875327,7544028,none
47637,450,197,15599984,25000,7510094,7510094,6383580,none
47638,450,197,18488662,25000,7896970,7896970,6712424,none
47639,450,197,15785178,25000,7536346,7536346,6405894,none
47640,450,164,23631418,25000,7021017,7021017,5967864,none
47641,450,164,12891918,25000,5869312,5869312,4988915,none
47642,450,164,18649675,25000,6546352,6546352,5564399,none
47643,450,164,26162422,25000,7235445,7235445,6150128,none
47644,450,164,16321100,25000,6293228,6293228,5349244,none
47645,450,164,15620488,25000,6212115,6212115,5280298,none
47646,450,165,8781253,25000,4276349,4276349,3634897,none
47647,450,165,8761171,25000,4273455,4273455,3632437,none
47648,450,165,6280979,25000,3872970,3872970,3292024,none
47649,450,165,12165358,25000,4709025,4709025,4002671,none
47650,450,165,9384076,25000,4361128,4361128,3706959,none
47651,450,165,12610114,25000,4759285,4759285,4045392,none
47652,450,165,18458970,25000,5326871,5326871,4527840,none
47653,450,165,12270484,25000,4721020,4721020,4012867,none
47654,450,197,15785178,25000,7536346,7536346,6405894,none
47655,450,197,18488662,25000,7896970,7896970,6712424,none
47656,450,197,15599984,25000,7510094,7510094,6383580,none
47657,450,197,27444776,25000,8875327,8875327,7544028,none
