item,reason
39,no-data
36,no-data
42,no-data
37,no-data
48,no-data
46,no-data
50,no-data
51,stale
54,no-data
41,no-data
52,no-data
57,no-data
77,no-data
86,no-data
58,no-data
87,no-data
88,no-data
85,no-data
89,no-data
91,no-data
92,no-data
94,no-data
102,no-data
101,no-data
99,no-data
105,no-data
104,no-data
113,no-data
114,no-data
103,no-data
125,no-data
126,no-data
131,no-data
132,no-data
128,no-data
130,no-data
133,no-data
123,no-data
134,no-data
135,no-data
129,no-data
138,no-data
137,no-data
136,no-data
139,no-data
140,no-data
146,no-data
143,no-data
141,no-data
124,no-data
151,no-data
147,no-data
149,no-data
152,no-data
156,no-data
157,no-data
150,no-data
194,no-data
184,no-data
195,no-data
193,no-data
201,stale
210,no-data
209,no-data
238,no-data
239,no-data
237,no-data
285,no-data
287,no-data
286,no-data
155,no-data
556,no-data
537,no-data
746,no-data
741,no-data
755,no-data
751,no-data
761,no-data
771,no-data
786,no-data
795,no-data
806,no-data
807,no-data
808,no-data
823,no-data
813,no-data
836,no-data
842,no-data
838,no-data
837,no-data
840,no-data
849,no-data
839,no-data
855,no-data
854,no-data
853,no-data
894,no-data
900,no-data
902,no-data
905,no-data
903,no-data
906,no-data
907,no-data
908,no-data
893,no-data
909,no-data
917,no-data
901,no-data
922,no-data
913,no-data
924,no-data
923,no-data
928,no-data
925,no-data
931,no-data
927,no-data
930,no-data
948,no-data
951,no-data
945,no-data
941,no-data
980,no-data
986,no-data
989,no-data
1016,no-data
976,no-data
1002,no-data
997,no-data
1020,no-data
1021,no-data
1018,no-data
1004,no-data
1025,no-data
1026,no-data
1022,no-data
1024,no-data
1023,no-data
1027,no-data
1031,no-data
1032,no-data
1029,no-data
1030,no-data
1035,no-data
1028,no-data
1037,no-data
1033,no-data
1034,no-data
1038,no-data
1036,no-data
1043,no-data
1044,no-data
1041,no-data
1042,no-data
1049,no-data
1046,no-data
1052,no-data
1053,no-data
1048,no-data
1061,no-data
1063,no-data
1057,no-data
1058,no-data
1047,no-data
1087,no-data
1090,no-data
1086,no-data
1091,no-data
1092,no-data
1093,no-data
1089,no-data
1095,no-data
1099,no-data
1088,no-data
1101,no-data
1111,no-data
1112,no-data
1102,no-data
1084,no-data
1114,no-data
1117,no-data
1113,no-data
1136,no-data
1119,no-data
1133,no-data
1128,no-data
1138,no-data
1139,no-data
1141,no-data
1151,no-data
1149,no-data
1150,no-data
1164,no-data
1163,no-data
1162,no-data
1157,no-data
1134,no-data
1165,no-data
1189,no-data
1190,no-data
1192,no-data
1200,stale
1193,no-data
1198,no-data
1216,no-data
1224,no-data
1228,no-data
1229,no-data
1222,no-data
1232,no-data
1238,no-data
1239,no-data
1243,no-data
1213,no-data
1244,no-data
1231,no-data
1245,no-data
1250,no-data
1258,no-data
1246,no-data
1266,no-data
1255,no-data
1268,no-data
1281,no-data
1311,no-data
1297,no-data
1328,no-data
1323,no-data
1335,no-data
1332,no-data
1341,no-data
1334,no-data
1354,no-data
1368,no-data
1370,no-data
1364,no-data
1372,no-data
1371,no-data
1379,no-data
1377,no-data
1339,no-data
1378,no-data
1384,no-data
1400,no-data
1398,no-data
1402,no-data
1403,no-data
1397,no-data
1416,no-data
1418,no-data
1424,no-data
1419,stale
1429,stale
1432,no-data
1435,no-data
1450,no-data
1487,no-data
1492,no-data
1500,no-data
1508,no-data
1536,no-data
1533,no-data
1545,no-data
1544,no-data
1559,no-data
1554,no-data
1534,no-data
1535,no-data
1567,no-data
1574,no-data
1588,no-data
1603,no-data
1597,no-data
1619,no-data
1638,no-data
1630,stale
1641,no-data
1622,no-data
1651,no-data
1623,no-data
1648,no-data
1654,no-data
1655,no-data
1649,no-data
1652,no-data
1676,no-data
1681,no-data
1657,no-data
1695,no-data
1690,no-data
1691,no-data
1694,no-data
1697,no-data
1704,no-data
1693,no-data
1689,no-data
1719,no-data
1724,no-data
1736,no-data
1731,no-data
1740,no-data
1747,stale
1749,no-data
1756,no-data
1759,no-data
1772,stale
1782,no-data
1776,no-data
1780,no-data
1788,no-data
1804,no-data
1835,no-data
1836,no-data
1839,no-data
1844,no-data
1851,no-data
1849,no-data
1850,no-data
1854,no-data
1877,no-data
1852,no-data
1880,no-data
1853,no-data
1882,no-data
1896,no-data
1878,no-data
1899,no-data
1901,no-data
1902,no-data
1910,no-data
1915,no-data
1911,no-data
1914,no-data
1912,no-data
1909,no-data
1926,stale
1950,no-data
1948,no-data
1961,no-data
1960,no-data
1969,no-data
1963,no-data
1957,no-data
1985,no-data
1983,no-data
1999,no-data
1995,no-data
2002,no-data
1984,no-data
2003,no-data
2016,no-data
2023,no-data
2024,no-data
2026,no-data
2028,no-data
2038,no-data
2050,no-data
2051,no-data
2052,no-data
2053,no-data
2056,no-data
2045,no-data
2030,no-data
2060,no-data
2081,no-data
2085,no-data
2088,stale
2101,stale
2106,no-data
2107,no-data
2104,no-data
2103,no-data
2109,no-data
2110,no-data
2114,no-data
2120,no-data
2124,no-data
2117,no-data
2136,no-data
2141,no-data
2142,no-data
2144,no-data
2147,no-data
2145,no-data
2146,no-data
2148,no-data
2150,no-data
2152,no-data
2133,no-data
2153,no-data
2149,no-data
2151,no-data
2176,no-data
2177,no-data
2178,no-data
2181,no-data
2180,no-data
2182,no-data
2183,no-data
2196,no-data
2197,no-data
2170,no-data
2184,no-data
2198,no-data
2199,no-data
2200,no-data
2202,no-data
2179,no-data
2212,no-data
2210,no-data
2232,stale
2214,stale
2234,no-data
2248,no-data
2255,no-data
2259,no-data
2275,no-data
2273,no-data
2301,no-data
2305,no-data
2306,no-data
2323,no-data
2322,no-data
2327,no-data
2362,no-data
2364,no-data
2369,no-data
2366,no-data
2384,no-data
2385,no-data
2387,no-data
2388,no-data
2389,no-data
2390,no-data
2398,no-data
2399,no-data
2404,no-data
2403,no-data
2400,no-data
2405,no-data
2402,no-data
2412,no-data
2413,no-data
2410,no-data
2418,stale
2419,stale
2415,no-data
2417,stale
2420,stale
2422,stale
2421,stale
2423,no-data
2424,no-data
2426,no-data
2427,no-data
2425,no-data
2431,no-data
2428,no-data
2434,no-data
2432,no-data
2435,no-data
2438,no-data
2441,no-data
2443,no-data
2440,no-data
2444,no-data
2429,no-data
